ip,classification,risk_recommended_pulsedive,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_recent_reports_count,apivoid_risk_score,apivoid_blacklists_engines_count,apivoid_blacklists_detections,apivoid_blacklists_detection_rate,virustotal_reputation,virustotal_harmless,virustotal_malicious,virustotal_suspicious,virustotal_undetected
1.12.55.42,denylist,0.4000000000000001,1.0,0.0019647058823529413,0.0265,3.0,0.9,82.0,4.0,0.05,0.18352601156069362,0.5894736842105263,0.06315789473684211,0.031578947368421054,0.3157894736842105
1.180.230.98,denylist,0.4000000000000001,1.0,0.008305882352941177,0.078,3.0,1.0,82.0,15.0,0.18,0.17341040462427743,0.5473684210526316,0.10526315789473684,0.010526315789473684,0.3368421052631579
1.183.1.82,suspicious,0.4000000000000001,0.29,0.004105882352941177,0.0535,3.0,0.9,82.0,4.0,0.05,0.17919075144508667,0.6421052631578947,0.010526315789473684,0.0,0.34736842105263155
1.189.209.19,suspicious,0.4000000000000001,0.0,3.529411764705883e-05,0.001,3.0,0.6,82.0,2.0,0.02,0.180635838150289,0.6105263157894737,0.031578947368421054,0.010526315789473684,0.34736842105263155
1192131153,suspicious,0.0,0.0,0.0,0.0,0.0,0.6,82.0,2.0,0.02,0.1820809248554913,0.631578947368421,0.0,0.0,0.3684210526315789
1.193.163.2,denylist,0.4000000000000001,1.0,0.011894117647058824,0.0905,3.0,1.0,82.0,19.0,0.23,0.1705202312138728,0.5263157894736842,0.1368421052631579,0.010526315789473684,0.3263157894736842
1201136217,suspicious,0.6000000000000001,0.0,1.1764705882352942e-05,0.0005,1.0,0.6,82.0,2.0,0.02,0.18352601156069362,0.6526315789473685,0.010526315789473684,0.010526315789473684,0.3263157894736842
1.201.162.20,denylist,0.8,1.0,0.005552941176470589,0.0555,3.0,1.0,82.0,10.0,0.12,0.180635838150289,0.6421052631578947,0.031578947368421054,0.010526315789473684,0.3157894736842105
1.213.164.27,denylist,0.8,0.02,3.529411764705883e-05,0.001,3.0,0.7000000000000001,82.0,3.0,0.04,0.17630057803468205,0.6210526315789473,0.010526315789473684,0.010526315789473684,0.35789473684210527
1215240130,denylist,0.4000000000000001,0.17,0.00012941176470588237,0.0045000000000000005,3.0,1.0,82.0,5.0,0.06,0.17630057803468205,0.6105263157894737,0.05263157894736842,0.010526315789473684,0.3263157894736842
1216217219,denylist,0.8,0.39,0.004047058823529412,0.0175,3.0,0.7000000000000001,82.0,3.0,0.04,0.18352601156069362,0.631578947368421,0.0,0.010526315789473684,0.35789473684210527
1.22.180.245,denylist,0.6000000000000001,0.15,8.23529411764706e-05,0.0025,3.0,0.9,82.0,4.0,0.05,0.17485549132947975,0.6105263157894737,0.042105263157894736,0.021052631578947368,0.3263157894736842
1227228136,denylist,0.4000000000000001,0.81,0.012129411764705883,0.08700000000000001,3.0,1.0,82.0,7.0,0.09,0.16763005780346818,0.5789473684210527,0.07368421052631578,0.031578947368421054,0.3157894736842105
1.231.222.20,suspicious,0.4000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,82.0,3.0,0.04,0.18352601156069362,0.631578947368421,0.010526315789473684,0.010526315789473684,0.34736842105263155
1.231.222.26,denylist,0.4000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,82.0,3.0,0.04,0.180635838150289,0.6,0.05263157894736842,0.010526315789473684,0.3368421052631579
1.234.31.117,denylist,0.4000000000000001,0.22,7.058823529411765e-05,0.002,3.0,1.0,82.0,5.0,0.06,0.17630057803468205,0.6,0.042105263157894736,0.010526315789473684,0.34736842105263155
1235192131,denylist,1.0000000000000002,1.0,0.017035294117647058,0.108,3.0,1.0,82.0,20.0,0.24,0.17341040462427743,0.5578947368421052,0.08421052631578947,0.031578947368421054,0.3263157894736842
1238106229,denylist,0.4000000000000001,1.0,0.07916470588235294,0.4995,3.0,1.0,82.0,17.0,0.21,0.17341040462427743,0.5368421052631579,0.10526315789473684,0.042105263157894736,0.3157894736842105
1247155239,denylist,0.4000000000000001,0.02,4.705882352941177e-05,0.001,3.0,0.9,82.0,4.0,0.05,0.1820809248554913,0.6,0.05263157894736842,0.010526315789473684,0.3368421052631579
